filename,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
008__[cel][nod][cla]0058__1.wav,0.005621733143925667,1273.9670379371612,1974.1812160346094,2121.4777766047296,0.03364238959942085,-548.29931640625,189.76556396484375,-21.12198829650879,15.259334564208984,18.99176788330078,16.186731338500977,-1.0312038660049438,-5.983768463134766,-2.8859634399414062,-7.871248722076416,-3.1927239894866943,-0.5642536282539368,1.159621000289917,-0.2872161269187927,-1.0510632991790771,2.558361768722534,7.008935451507568,9.611933708190918,6.723991870880127,2.8925013542175293,cel
008__[cel][nod][cla]0058__2.wav,0.009950187057256699,1369.4967712111204,1985.4023376037164,2307.544605152027,0.035052560931467185,-492.2530212402344,180.4359588623047,-30.72063446044922,16.488262176513672,7.242813587188721,15.498130798339844,-5.703055381774902,0.03967417776584625,6.1212334632873535,2.203333616256714,4.937366962432861,-3.7749640941619873,-4.9763383865356445,-5.985731601715088,-12.42129135131836,-7.708521842956543,-5.190785884857178,0.19754688441753387,10.872709274291992,21.063335418701172,cel
008__[cel][nod][cla]0058__3.wav,0.015884241089224815,1515.5589712364429,2010.0457593130448,2452.3741026182433,0.04134365950772201,-445.2869873046875,170.88661193847656,-36.93051528930664,13.339683532714844,2.7630186080932617,15.562643051147461,-6.049806118011475,-6.2214813232421875,-3.6921911239624023,-7.948460102081299,0.9374745488166809,-1.1299805641174316,0.3038123846054077,2.144061803817749,3.028069496154785,4.69212532043457,1.3155765533447266,-4.31221342086792,-6.9507646560668945,-1.1986865997314453,cel
012__[cel][nod][cla]0043__1.wav,0.017557790502905846,1764.4440397751207,2402.842739946996,3208.613545185811,0.04209964708011583,-370.5633544921875,182.48265075683594,-35.70127868652344,31.87796401977539,1.9295133352279663,20.379724502563477,-10.143896102905273,2.6195435523986816,-9.367082595825195,1.4370896816253662,-4.95426082611084,-3.4595208168029785,-4.016847610473633,-2.542539358139038,2.515918493270874,3.3373093605041504,-1.4052478075027466,-2.197753429412842,0.09768936038017273,-1.3997352123260498,cel
012__[cel][nod][cla]0043__2.wav,0.06767609715461731,10725.931850773371,6496.8382110739685,18631.541649070947,0.4677168798262548,-92.73662567138672,4.565804958343506,3.9922826290130615,2.36301589012146,2.12666654586792,1.5022486448287964,-0.0047015040181577206,-0.9988282918930054,-0.8002476096153259,-0.3712855279445648,-1.0028969049453735,-2.102217674255371,-2.3512115478515625,-1.4436677694320679,-0.0694374144077301,0.7353129982948303,0.7633981704711914,0.884748637676239,1.2389594316482544,0.8874070048332214,cel
012__[cel][nod][cla]0043__3.wav,0.021723629906773567,2217.499277782924,2771.04077672044,3997.111222550676,0.05616177002895753,-340.98248291015625,155.55580139160156,-40.738521575927734,20.810192108154297,-6.841434001922607,19.85099220275879,-14.140074729919434,4.3147196769714355,-9.264028549194336,4.639074325561523,-2.4850497245788574,1.546288013458252,-3.8478150367736816,-1.7363874912261963,0.09790439903736115,7.727778434753418,1.4000753164291382,-0.9422001838684082,-1.840243935585022,0.8985503911972046,cel
013__[cel][nod][cla]0025__1.wav,0.04034091532230377,2249.036303277722,3587.650615898219,4514.988914695946,0.0421222701496139,-338.7173767089844,167.28346252441406,-18.846521377563477,17.973474502563477,53.18614959716797,-9.411874771118164,12.319642066955566,-0.7911871671676636,-15.013922691345215,4.949844837188721,-19.539764404296875,13.216771125793457,-13.575191497802734,8.051464080810547,-9.946022987365723,5.427820205688477,-5.5547919273376465,12.40477180480957,5.18710994720459,14.555066108703613,cel
013__[cel][nod][cla]0025__2.wav,0.03644116222858429,2009.441293901171,3645.3709425560914,3165.796558277027,0.03148565697393822,-343.5243225097656,175.07333374023438,-8.520679473876953,7.83106803894043,38.44068145751953,-11.989896774291992,7.1245245933532715,-7.742244243621826,-19.740610122680664,0.6220388412475586,-24.54710578918457,12.729607582092285,-14.894182205200195,4.14744758605957,-17.379125595092773,-1.7140254974365234,-14.378893852233887,0.6131186485290527,-5.799379825592041,6.593109607696533,cel
013__[cel][nod][cla]0025__3.wav,0.046113476157188416,3697.1032048084703,5429.380376858237,8731.09031883446,0.04191489201254826,-275.8261413574219,110.5813980102539,-0.05893309786915779,0.8034641742706299,28.092973709106445,5.04126501083374,-6.732223987579346,-6.253493785858154,-12.315499305725098,-14.284388542175293,-7.7102251052856445,0.3648053705692291,-4.025008678436279,-6.414985179901123,-6.2570414543151855,-2.864215135574341,-8.456915855407715,-4.1887054443359375,1.3000563383102417,4.094995975494385,cel
014__[cel][nod][cla]0041__1.wav,0.05600714311003685,10005.161377463108,6761.083849593491,18388.191511824323,0.35496161619208494,-119.62223815917969,22.040742874145508,12.002964973449707,5.243697643280029,4.422450542449951,2.6993844509124756,-0.9911248087882996,-4.447604179382324,-4.919827461242676,-3.9175925254821777,-2.692047119140625,-3.048790454864502,-3.5656917095184326,-2.9626126289367676,-1.280966877937317,-1.5082110166549683,-2.8825278282165527,-2.7936248779296875,-2.2103896141052246,-2.3701701164245605,cel
